"Ano";"País";"Gênero";"Agrupamento_por_idade";"Causa_da_Morte";"Número_de_Mortes";"Taxa_de_Mortalidade_por_1000"
2025;"Estados Unidos";"Masculino";"0-14";"Doenças Infecciosas";430716;5,75
2025;"Alemanha";"Feminino";"15-29";"Câncer";331790;7,34
2017;"Índia";"Feminino";"45-59";"Doenças Cardiovasculares";356201;1,69
2019;"Brasil";"Masculino";"60+";"Câncer";39749;10,69
2024;"China";"Masculino";"30-44";"Câncer";21474;9,07
2024;"Brasil";"Feminino";"0-14";"Doença Renal";105665;3,65
2020;"Estados Unidos";"Masculino";"0-14";"Homicídio";6112;11,38
2022;"Brasil";"Masculino";"45-59";"Suicídio";440461;7,02
2024;"Estados Unidos";"Masculino";"0-14";"Desastres Naturais";260693;10,45
2025;"Brasil";"Masculino";"45-59";"Suicídio";461372;10,77
2021;"Rússia";"Feminino";"45-59";"Desastres Naturais";298979;4,54
2016;"Japão";"Feminino";"15-29";"Doenças Cardiovasculares";404072;9,15
2017;"Paquistão";"Feminino";"45-59";"Desastres Naturais";486460;2,3
2020;"China";"Masculino";"45-59";"Desastres Naturais";458158;11,57
2021;"Reino Unido";"Feminino";"0-14";"Câncer";359486;9,92
2022;"Brasil";"Feminino";"0-14";"Doenças Infecciosas";141821;1,97
2022;"Estados Unidos";"Feminino";"60+";"Doenças Infecciosas";93085;3,95
2020;"Alemanha";"Masculino";"30-44";"Doença Renal";299587;7,58
2017;"Brasil";"Feminino";"30-44";"AVC";235153;2,24
2025;"Japão";"Feminino";"15-29";"Doenças Cardiovasculares";363798;2,63
2021;"Japão";"Masculino";"0-14";"Desastres Naturais";47916;2,64
2019;"Nigéria";"Masculino";"60+";"Homicídio";440146;1,78
2020;"Brasil";"Feminino";"30-44";"Acidentes de Trânsito";431387;6,38
2023;"Estados Unidos";"Feminino";"60+";"AVC";291078;5,58
2019;"China";"Masculino";"0-14";"Acidentes de Trânsito";127229;11,4
2024;"Paquistão";"Feminino";"0-14";"Acidentes de Trânsito";474518;2,24
2020;"Reino Unido";"Feminino";"0-14";"Homicídio";97529;0,97
2015;"Nigéria";"Masculino";"30-44";"Acidentes de Trânsito";230598;9,12
2018;"Estados Unidos";"Masculino";"0-14";"Diabetes";449905;4,01
2023;"Estados Unidos";"Feminino";"45-59";"Doenças Infecciosas";238747;7,25
2024;"Reino Unido";"Masculino";"45-59";"Homicídio";109775;8,95
2016;"Paquistão";"Feminino";"30-44";"Doenças Cardiovasculares";278999;2,24
2020;"Brasil";"Masculino";"0-14";"Diabetes";318252;4,83
2016;"Alemanha";"Feminino";"45-59";"Suicídio";187818;11,28
2022;"Reino Unido";"Masculino";"0-14";"Doença Renal";259691;2,25
2020;"Paquistão";"Feminino";"60+";"Câncer";95864;8,63
2016;"Reino Unido";"Feminino";"60+";"Doenças Respiratórias";135457;3,95
2020;"Índia";"Feminino";"0-14";"Doenças Infecciosas";456701;0,49
2022;"Brasil";"Masculino";"30-44";"Doenças Respiratórias";241972;10,61
2017;"Estados Unidos";"Masculino";"30-44";"Doenças Cardiovasculares";256795;3,84
2021;"Estados Unidos";"Masculino";"45-59";"Acidentes de Trânsito";289043;1,53
2015;"Japão";"Masculino";"15-29";"Doenças Infecciosas";217905;11,39
2022;"Nigéria";"Masculino";"0-14";"Doença Renal";12148;9,34
2021;"Reino Unido";"Masculino";"0-14";"Diabetes";449076;3,27
2016;"Japão";"Feminino";"0-14";"Diabetes";171664;6,24
2016;"Reino Unido";"Feminino";"15-29";"Doença Renal";162708;11,92
2025;"China";"Masculino";"0-14";"Doenças Cardiovasculares";73851;2,41
2023;"Estados Unidos";"Feminino";"60+";"Doença Renal";208406;6,85
2020;"China";"Feminino";"60+";"Doença Renal";171488;1,56
2017;"Índia";"Feminino";"60+";"Suicídio";243447;1,58
2017;"Japão";"Feminino";"30-44";"Doenças Infecciosas";72522;0,89
2025;"Brasil";"Feminino";"30-44";"Acidentes de Trânsito";321207;2,33
2019;"Alemanha";"Masculino";"15-29";"Doenças Cardiovasculares";29553;2,58
2020;"Nigéria";"Feminino";"0-14";"Acidentes de Trânsito";346940;6,89
2025;"Reino Unido";"Feminino";"45-59";"Doenças Infecciosas";266599;7,06
2022;"Brasil";"Feminino";"30-44";"Doenças Infecciosas";385103;4,92
2017;"Japão";"Masculino";"45-59";"Doenças Respiratórias";414252;6,34
2022;"Nigéria";"Masculino";"0-14";"Doenças Respiratórias";306921;9,28
2019;"Japão";"Masculino";"0-14";"Desastres Naturais";73809;9,03
2017;"Reino Unido";"Feminino";"15-29";"Acidentes de Trânsito";177726;10,57
2022;"Reino Unido";"Masculino";"15-29";"Doenças Cardiovasculares";395580;10,31
2022;"Estados Unidos";"Feminino";"0-14";"Acidentes de Trânsito";383449;6,11
2025;"Brasil";"Feminino";"15-29";"Doença Renal";461709;6,74
2015;"China";"Masculino";"30-44";"Suicídio";82951;4,76
2020;"Reino Unido";"Feminino";"15-29";"Doenças Respiratórias";135420;1,45
2018;"Reino Unido";"Masculino";"0-14";"Doenças Infecciosas";481257;8,43
2016;"Estados Unidos";"Feminino";"15-29";"AVC";240421;0,74
2016;"Alemanha";"Masculino";"0-14";"Doenças Respiratórias";188583;2,61
2023;"Estados Unidos";"Masculino";"60+";"Doenças Respiratórias";54683;0,82
2019;"Japão";"Masculino";"30-44";"AVC";259182;10,59
2015;"Paquistão";"Feminino";"15-29";"Doenças Respiratórias";399824;3,8
2020;"Estados Unidos";"Feminino";"15-29";"Doença Renal";51826;0,63
2024;"Alemanha";"Masculino";"15-29";"Doenças Cardiovasculares";394415;11,11
2022;"Rússia";"Masculino";"0-14";"Homicídio";43498;2,96
2021;"China";"Masculino";"45-59";"Suicídio";18190;2,69
2025;"Japão";"Masculino";"0-14";"Diabetes";66078;10,23
2021;"Paquistão";"Masculino";"45-59";"Diabetes";151813;8,97
2025;"Nigéria";"Feminino";"30-44";"Doença Renal";410574;7,67
2025;"Brasil";"Feminino";"45-59";"Doenças Infecciosas";71116;3,59
2025;"China";"Feminino";"30-44";"Doenças Cardiovasculares";93998;4,76
2020;"Estados Unidos";"Masculino";"15-29";"Doenças Cardiovasculares";63246;3,56
2024;"Paquistão";"Feminino";"60+";"Acidentes de Trânsito";45019;4,57
2017;"Rússia";"Masculino";"15-29";"Doença Renal";372312;2,11
2017;"Paquistão";"Masculino";"45-59";"Diabetes";185213;4,92
2019;"Índia";"Feminino";"0-14";"Doenças Cardiovasculares";335359;3,52
2021;"Brasil";"Feminino";"45-59";"Doenças Respiratórias";362615;8,2
2020;"Brasil";"Feminino";"15-29";"Doenças Cardiovasculares";142667;6,63
2018;"Brasil";"Masculino";"0-14";"Doença Renal";280701;2,78
2019;"Paquistão";"Feminino";"60+";"Diabetes";28954;1,4
2023;"Rússia";"Feminino";"60+";"Desastres Naturais";295512;8,5
2018;"Nigéria";"Masculino";"0-14";"Homicídio";45161;11,3
2024;"Brasil";"Masculino";"60+";"Doença Renal";366667;2,8
2021;"Índia";"Feminino";"15-29";"Suicídio";487698;1,4
2015;"Estados Unidos";"Masculino";"0-14";"Diabetes";169680;8,96
2021;"Nigéria";"Masculino";"45-59";"Doenças Infecciosas";79457;3,8
2015;"Índia";"Masculino";"15-29";"Diabetes";482097;2,31
2016;"Paquistão";"Masculino";"60+";"Doenças Respiratórias";319343;9,25
2019;"Brasil";"Masculino";"15-29";"Doença Renal";225848;7,55
2023;"Estados Unidos";"Masculino";"0-14";"Acidentes de Trânsito";234067;4,49
2018;"Alemanha";"Masculino";"45-59";"Doenças Cardiovasculares";9862;9,52
2015;"Alemanha";"Feminino";"15-29";"AVC";314563;11,81
2016;"Rússia";"Feminino";"15-29";"Suicídio";127813;6,23
2018;"Japão";"Masculino";"45-59";"AVC";338655;6,62
2019;"Alemanha";"Feminino";"30-44";"Homicídio";210306;7,87
2023;"Alemanha";"Feminino";"0-14";"Doenças Cardiovasculares";204319;5,47
2020;"Paquistão";"Feminino";"30-44";"Doenças Respiratórias";206734;10,3
2021;"Brasil";"Feminino";"0-14";"Suicídio";497419;10,01
2018;"Rússia";"Feminino";"45-59";"Diabetes";229853;10,55
2021;"Reino Unido";"Feminino";"60+";"Acidentes de Trânsito";395366;6,06
2023;"Estados Unidos";"Masculino";"45-59";"Acidentes de Trânsito";155860;11,69
2021;"Reino Unido";"Masculino";"30-44";"Homicídio";22805;0,92
2019;"Paquistão";"Feminino";"45-59";"Doenças Respiratórias";219141;2,17
2021;"Reino Unido";"Masculino";"60+";"Doenças Cardiovasculares";479111;11,71
2019;"Alemanha";"Masculino";"30-44";"Doenças Respiratórias";442358;0,65
2015;"Rússia";"Masculino";"60+";"Doenças Cardiovasculares";499331;8,64
2018;"Reino Unido";"Masculino";"45-59";"Câncer";329314;4,48
2024;"Rússia";"Masculino";"15-29";"Homicídio";34139;8,08
2024;"Japão";"Feminino";"15-29";"Acidentes de Trânsito";278877;3,75
2023;"Nigéria";"Masculino";"15-29";"Doenças Infecciosas";66832;10,9
2021;"Brasil";"Masculino";"45-59";"Acidentes de Trânsito";169807;9,71
2019;"Alemanha";"Masculino";"45-59";"Doenças Infecciosas";32890;10,56
2015;"Japão";"Feminino";"30-44";"Suicídio";83611;0,51
2025;"China";"Feminino";"15-29";"Homicídio";32804;4,4
2025;"Estados Unidos";"Feminino";"60+";"Doença Renal";256043;4,31
2024;"Rússia";"Masculino";"45-59";"Câncer";95466;9,31
2021;"Rússia";"Masculino";"0-14";"AVC";469412;1,69
2016;"Reino Unido";"Feminino";"60+";"Câncer";111476;3,25
2025;"Índia";"Masculino";"60+";"Desastres Naturais";453914;1,29
2015;"Rússia";"Masculino";"0-14";"Câncer";486467;5,67
2020;"Índia";"Masculino";"0-14";"Câncer";10721;4,43
2015;"Alemanha";"Feminino";"30-44";"Homicídio";114210;4,3
2023;"Estados Unidos";"Masculino";"15-29";"Desastres Naturais";230120;9,3
2021;"Japão";"Feminino";"60+";"Diabetes";418151;10,04
2019;"Reino Unido";"Feminino";"15-29";"Doenças Infecciosas";144479;1,06
2020;"China";"Feminino";"60+";"Desastres Naturais";79201;0,58
2025;"Nigéria";"Masculino";"60+";"Doenças Cardiovasculares";229325;11,48
2020;"China";"Masculino";"45-59";"Homicídio";478230;6,39
2020;"Paquistão";"Masculino";"60+";"Doenças Cardiovasculares";52307;6,93
2016;"Alemanha";"Masculino";"45-59";"Doença Renal";455818;2,12
2024;"Reino Unido";"Masculino";"30-44";"Desastres Naturais";265035;0,19
2025;"Alemanha";"Feminino";"0-14";"Diabetes";403899;4,82
2018;"Alemanha";"Feminino";"15-29";"Doenças Respiratórias";354149;3,59
2025;"Nigéria";"Feminino";"0-14";"Doenças Cardiovasculares";66677;7,88
2016;"Paquistão";"Masculino";"15-29";"Homicídio";387404;11,33
2015;"Japão";"Feminino";"15-29";"Doenças Cardiovasculares";52733;8,74
2025;"Paquistão";"Feminino";"0-14";"Câncer";68972;5,16
2023;"Brasil";"Masculino";"30-44";"Suicídio";472848;9,72
2019;"China";"Masculino";"30-44";"Diabetes";327145;1,52
